"Mois";"Archipel";"Classe";"Chambres offertes";"Chambres vendues";"CMR";"RevPar";"RMC"
"juin 2018";"Îles Du Vent";"Tourisme";"8040";"5082";"0.63208955223880592";"7320.1054726368156";"11580.804407713498"
"juin 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"8703";"4522";"0.51959094565092501";"11311.942433643571";"21770.861344537814"
"juin 2018";"Îles-Sous-Le-Vent";"Luxe";"21900";"15229";"0.69538812785388127";"57806.250502283103";"83128.037691246966"
"juin 2018";"Îles-Sous-Le-Vent";"Tourisme";"690";"382";"0.55362318840579705";"13959.821739130435";"25215.384816753925"
"juillet 2018";"Autres archipels";"Grand Tourisme";"2108";"979";"0.4644212523719165";"8803.9013282732449";"18956.715015321755"
"juillet 2018";"Autres archipels";"Luxe";"3007";"2365";"0.78649817093448615";"30343.157632191553";"38580.073995771672"
"juillet 2018";"Îles Du Vent";"Grand Tourisme";"11222";"8981";"0.80030297629656033";"19425.153805025842";"24272.249860817279"
"juillet 2018";"Îles Du Vent";"Luxe";"26288";"19477";"0.7409083992696287";"26296.368228849664";"35492.063870205886"
"juillet 2018";"Îles Du Vent";"Tourisme";"8339";"6027";"0.72274853099892078";"9410.8471039693013";"13020.914883026382"
"juillet 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"7936";"5814";"0.73261088709677424";"17056.386466733871";"23281.644822841416"
"juillet 2018";"Îles-Sous-Le-Vent";"Luxe";"22599";"17688";"0.7826894995353777";"69355.74379397319";"88612.079036635012"
"juillet 2018";"Îles-Sous-Le-Vent";"Tourisme";"713";"420";"0.5890603085553997";"19503.166900420758";"33108.94761904762"
"août 2018";"Autres archipels";"Grand Tourisme";"2108";"1460";"0.69259962049335866";"12878.416982922201";"18594.31712328767"
"août 2018";"Autres archipels";"Luxe";"3007";"2678";"0.8905886265380778";"35644.4243431992";"40023.444361463778"
"août 2018";"Îles Du Vent";"Grand Tourisme";"11222";"9197";"0.81955088219568706";"20534.957672429158";"25056.354789605306"
"août 2018";"Îles Du Vent";"Luxe";"26288";"20379";"0.7752206329884358";"34443.439249847841";"44430.498601501546"
"août 2018";"Îles Du Vent";"Tourisme";"8308";"6281";"0.75601829561868084";"21284.377828598939";"28153.25760229263"
"août 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"7963";"5791";"0.72723847796056762";"20072.928670099209";"27601.576757036783"
