"Subdivision";"Division";"Groupe";"Classe";"Taille Du Menage";"Dépenses";"Autoconsommation";"Ménages";"Dépenses moyennes par ménage";"Dépenses moyennes par ménage répondant";"Dépenses moyennes mensuelles par ménage";"Dépenses moyennes mensuelles par ménage répondant";"Dépenses moyennes par UC";"Dépenses moyennes par UC répondant";"Dépenses moyennes mensuelles par UC";"Dépenses moyennes mensuelles par UC répondant"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Autres articles vestimentaires et accessoires d'habillement";"6 et +";"17515432.688750308";"559442.27206659061";"543.97913314131642";"1828.7951091539096";"32198.721645082111";"152.39959242949246";"2683.2268037568424";"350.61193428719082";"7173.6304311165668";"29.217661190599234";"597.80253592638064"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Nettoyage, réparation et location de vêtements  ";"1";"1174006.8731483701";"0";"28.211009905866302";"224.62439151393613";"41615.201903999994";"18.71869929282801";"3467.9334919999997";"224.62439151393613";"41615.201903999994";"18.71869929282801";"3467.9334919999997"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Nettoyage, réparation et location de vêtements  ";"2";"5455575.0583755812";"0";"141.35941460633208";"468.26711885154839";"38593.64495508602";"39.022259904295694";"3216.1370795905013";"280.54297685455265";"22702.144091227066";"23.378581404546054";"1891.8453409355889"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Nettoyage, réparation et location de vêtements  ";"3";"3226701.0040253056";"0";"66.819003860203111";"297.89295586017028";"48290.169227546721";"24.824412988347522";"4024.1807689622265";"131.86781303411638";"23787.804848247892";"10.988984419509698";"1982.3170706873243"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Nettoyage, réparation et location de vêtements  ";"4";"10280662.111526001";"0";"191.97129704779132";"989.94431398091547";"53553.121063544342";"82.495359498409627";"4462.7600886286946";"349.19628456661195";"18348.433391077338";"29.099690380550996";"1529.0361159231113"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Nettoyage, réparation et location de vêtements  ";"5";"246109.33783793449";"0";"32.900943700718997";"40.257249314418651";"7480.3124213290021";"3.3547707762015544";"623.35936844408354";"11.753039797260607";"2842.7132781058494";"0.97941998310505063";"236.89277317548743"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Nettoyage, réparation et location de vêtements  ";"6 et +";"2583167.9102004766";"0";"47.620453226788499";"269.70985668724643";"54244.924925396059";"22.475821390603869";"4520.4104104496719";"51.708085873647285";"13684.284194867307";"4.3090071561372731";"1140.3570162389422"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles chaussants  ";"Chaussures et autres articles chaussants";"1";"44107154.874226294";"0";"1374.2080801565787";"8439.0841754313278";"32096.416482430141";"703.25701461927724";"2674.7013735358455";"8439.0841754313278";"32096.416482430141";"703.25701461927724";"2674.7013735358455"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles chaussants  ";"Chaussures et autres articles chaussants";"2";"174934822.38533029";"0";"4188.9285360101103";"15015.140363512264";"41761.233423178186";"1251.2616969593553";"3480.1027852648485";"8995.7035330599556";"24952.108792066239";"749.64196108832971";"2079.3423993388533"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles chaussants  ";"Chaussures et autres articles chaussants";"3";"219137853.33492425";"18259392.387925085";"5480.7304579742713";"20231.072785906348";"39983.329779716922";"1685.9227321588623";"3331.9441483097435";"8955.6576318097486";"17917.859498753558";"746.30480265081246";"1493.1549582294633"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles chaussants  ";"Chaussures et autres articles chaussants";"4";"285446345.40344071";"8086537.8819016479";"5750.0327996480382";"27486.166115892767";"49642.55950347153";"2290.5138429910639";"4136.8799586226269";"9695.5626181166117";"17802.785950717331";"807.96355150971772";"1483.5654958931109"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles chaussants  ";"Chaussures et autres articles chaussants";"5";"155303588.6076324";"0";"2989.0952116468834";"25403.730475754783";"51956.721887780128";"2116.9775396462319";"4329.7268239816776";"7416.5786377632867";"15264.12136438953";"618.04821981360726";"1272.0101136991275"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles chaussants  ";"Chaussures et autres articles chaussants";"6 et +";"218585943.23764971";"8132630.3057196215";"5311.5312850919754";"22822.667930981566";"41153.093431109228";"1901.8889942484636";"3429.4244525924355";"4375.5036902836855";"7644.0081406749832";"364.6253075236404";"637.00067838958194"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles chaussants  ";"Réparations et locations de chaussures";"2";"905567.04670288076";"0";"34.734078503672897";"77.727327980842645";"26071.428571428001";"6.4772773317368868";"2172.619047619";"46.567130376729963";"15336.134453781178";"3.8805941980608303";"1278.0112044817647"
