Date;SH;Pays;Poids;Valeur;DTE;CodeICSCH;ICSCH
01/06/2018;96151100;FRP;9;94780;131;2;Commerce
01/06/2018;96159000;FRP;0;277;130;2;Commerce
01/06/2018;96170000;FRP;1;9000;390;2;Commerce
01/06/2018;97011000;FRP;12;38591;145;2;Commerce
01/07/2018;20079100;FRP;0;3705;130;2;Commerce
01/07/2018;20079920;FRP;42;28320;85;1;Industrie
01/07/2018;20079920;FRP;1;6840;260;2;Commerce
01/07/2018;20079930;USP;90400;24860000;85;1;Industrie
01/07/2018;20079990;FRP;125;84960;85;1;Industrie
01/07/2018;20079990;FRP;13;17250;260;2;Commerce
01/07/2018;20079990;FRP;33;78243;825;2;Commerce
01/06/2018;82159990;FRP;1;6225;260;2;Commerce
01/06/2018;87032379;FRP;1500;1252965;85;6;Autre secteur
01/07/2018;20089990;USP;244;366244;1298;1;Industrie
01/07/2018;20091900;FRP;52;15120;85;1;Industrie
01/07/2018;20092900;FRP;73;21000;85;1;Industrie
01/07/2018;20094900;FRP;512;147900;85;1;Industrie
01/07/2018;20094900;FRP;900;148500;4559;3;Services
01/07/2018;20094900;JPP;1500;503991;85;1;Industrie
01/07/2018;22030000;FRP;161;62948;1050;2;Commerce
01/07/2018;22030000;FRP;1039;191535;5502;3;Services
01/07/2018;22030000;USP;7683;1951272;85;1;Industrie
01/07/2018;22041090;FRP;20;70600;393;2;Commerce
01/07/2018;22042190;FRP;28;18900;85;1;Industrie
01/07/2018;22042190;FRP;0;10590;130;2;Commerce
01/07/2018;22042190;FRP;165;279650;1456;2;Commerce
01/07/2018;22042190;FRP;27;68400;219;3;Services
01/07/2018;22042190;JPP;9;22800;130;3;Services
01/07/2018;22042190;USP;27;68400;219;3;Services
01/07/2018;22060000;DEP;1;2983;130;1;Industrie
01/07/2018;22060000;FRP;261;177660;85;1;Industrie
01/07/2018;22060000;FRP;120;56040;681;3;Services
01/07/2018;22060000;USP;120;56040;681;3;Services
01/07/2018;22084090;FRP;1996;1981397;215;1;Industrie
01/07/2018;22084090;FRP;44;106400;494;2;Commerce
01/07/2018;22084090;FRP;161;408746;1887;2;Commerce
01/07/2018;22086090;FRP;4;10080;130;2;Commerce
01/07/2018;22087090;FRP;39;26280;85;1;Industrie
01/07/2018;22087090;FRP;5;26000;260;2;Commerce
01/07/2018;22087090;FRP;66;190020;972;2;Commerce
01/07/2018;22089099;FRP;177;120600;85;1;Industrie
01/07/2018;22089099;FRP;51;25245;507;2;Commerce
01/07/2018;22089099;NZP;120;300000;681;1;Industrie
01/07/2018;25010090;FRP;2200;396000;85;1;Industrie
01/07/2018;25010090;FRP;9;37843;390;2;Commerce
01/07/2018;25059000;FRP;47;6999;320;4;Construction
01/07/2018;25171000;FRP;54;7999;354;4;Construction
01/07/2018;25183000;FRP;297;11933;1559;3;Services
01/06/2018;89039999;NZP;40;270000;283;1;Industrie
01/06/2018;89039999;USP;740;8502244;85;1;Industrie
01/07/2018;20098910;FRP;19090;7081332;85;1;Industrie
01/07/2018;20098910;FRP;8;8000;130;2;Commerce
01/07/2018;20098910;KRP;13817;5112230;16314;1;Industrie
01/07/2018;20098910;USP;9000;3345894;85;1;Industrie
01/07/2018;20098990;FRP;118;34080;85;1;Industrie
01/07/2018;20099000;FRP;111;32160;85;1;Industrie
01/07/2018;21069090;CKP;1;5850;130;3;Services
01/07/2018;21069090;NCP;1152;414720;85;1;Industrie
01/07/2018;22019000;FRP;7092;309516;35431;3;Services
01/07/2018;22021000;CKP;2;1750;130;3;Services
01/07/2018;22021000;FRP;1629;212154;8437;3;Services
01/07/2018;22021000;FRP;16;8950;162;3;Services
01/07/2018;22029010;FRP;576;109634;3116;3;Services
01/07/2018;22029010;NZP;373;225142;1939;1;Industrie
01/07/2018;22030000;CKP;2;3000;130;3;Services
01/07/2018;22011010;FRP;1606;83706;8403;3;Services
01/07/2018;27150000;FRP;20;2999;186;4;Construction
01/07/2018;30029000;FRP;0;5965;650;3;Services
01/07/2018;33019000;FRP;0;935;130;2;Commerce
01/07/2018;33030010;FRP;6;34800;390;2;Commerce
01/07/2018;33030010;FRP;9;84766;1040;2;Commerce
01/07/2018;33030090;FRP;4;44840;130;2;Commerce
01/07/2018;33030090;FRP;5;49926;910;2;Commerce
01/07/2018;33030090;VUP;22;73500;193;1;Industrie
